Sector,Ticker,Industry,Index,SectorRank,SectorCount
Untilities,NI,Multi-Utilities,40.1,20,31
Untilities,DTE,Multi-Utilities,36.7,21,31
Untilities,LNT,Electric Utilities,36.1,22,31
Untilities,SRE,Multi-Utilities,34.3,23,31
Untilities,VST,Electric Utilities,32.7,24,31
Untilities,PEG,Electric Utilities,31.4,25,31
Untilities,EVRG,Electric Utilities,29.9,26,31
Untilities,FE,Electric Utilities,29.2,27,31
Untilities,PNW,Multi-Utilities,27.2,28,31
Untilities,WEC,Electric Utilities,20.6,29,31
Untilities,AWK,Water Utilities,16.6,30,31
Untilities,ATO,Gas Utilities,5.9,31,31
